Weight,Height,,,,
48.41140938,159.688172,,,,
48.69017613,159.9057871,,,,
48.9630481,160.1093647,,,,
49.22993391,160.299733,,,,
49.49075409,160.4776996,,,,
49.74544132,160.6440526,,,,
49.99394068,160.7995428,,,,
50.23620985,160.9448916,,,,
50.47222213,161.0807857,,,,
50.70195581,161.2078755,,,,
50.92540942,161.3267744,,,,
51.14259229,161.4380593,,,,
51.3535268,161.5422726,,,,
51.55824831,161.639917,,,,
51.75680513,161.7314645,,,,
51.94925841,161.8173534,,,,
52.13568193,161.8979913,,,,
52.31616197,161.9737558,,,,
52.49079703,162.0449969,,,,
52.65969757,162.1120386,,,,
52.82298572,162.17518,,,,
52.9807949,162.2346979,,,,
53.13326946,162.2908474,,,,
53.28056425,162.343864,,,,
53.42284417,162.3939652,,,,
53.5602837,162.4413513,,,,
53.69306637,162.4862071,,,,
53.82138422,162.5287029,,,,
53.94543725,162.5689958,,,,
54.06543278,162.6072309,,,,
54.18158486,162.6435418,,,,
54.29411356,162.6780519,,,,
54.40324431,162.7108751,,,,
54.50920717,162.7421168,,,,
54.61223603,162.7718741,,,,
54.71256787,162.8002371,,,,
54.81044184,162.8272889,,,,
54.90609842,162.8531067,,,,
54.99977846,162.8777619,,,,
55.09172217,162.9013208,,,,
55.18216811,162.9238449,,,,
55.271352,162.9453912,,,,
55.35950558,162.9660131,,,,
55.44685531,162.9857599,,,,
55.53362107,163.0046776,,,,
55.62001464,163.0228094,,,,
55.70623826,163.0401953,,,,
55.79247939,163.0568727,,,,
55.87892356,163.0728768,,,,
55.96573022,163.0882404,,,,
56.05304601,163.1029943,,,,
56.14099882,163.1171673,,,,
56.22969564,163.1307866,,,,
56.3192203,163.1438776,,,,
56.40963105,163.1564644,,,,
56.50095811,163.1685697,,,,
56.59320107,163.1802146,,,,
56.68632619,163.1914194,,,,
56.78026364,163.202203,,,,
56.87490465,163.2125835,,,,
56.97009856,163.2225779,,,,
57.06564989,163.2322024,,,,
57.16131528,163.2414722,,,,
57.25679821,163.2504019,,,,
57.35175792,163.2590052,,,,
57.44578172,163.2672954,,,,
57.53840429,163.2752848,,,,
57.62910094,163.2829854,,,,
57.7172758,163.2904086,,,,
57.80226553,163.297565,,,,
