Weight,Height,,,,,
31.48225315,138.0032114,,,,,
31.78312329,138.4142703,,,,,
32.08799062,138.8234114,,,,,
32.39690313,139.2309592,,,,,
32.7099062,139.6372663,,,,,
33.02704244,140.042714,,,,,
33.34835148,140.4477127,,,,,
33.67386973,140.8527022,,,,,
34.00363017,141.2581515,,,,,
34.33766207,141.6645592,,,,,
34.67599076,142.072452,,,,,
35.01863732,142.4823852,,,,,
35.36561737,142.8949403,,,,,
35.71694723,143.3107241,,,,,
36.07262569,143.7303663,,,,,
36.43265996,144.1545167,,,,,
36.79704392,144.5838414,,,,,
37.1657671,145.0190192,,,,,
37.53881268,145.4607359,,,,,
37.91615721,145.9096784,,,,,
38.2977703,146.3665278,,,,,
38.6836143,146.8319513,,,,,
39.07364401,147.3065929,,,,,
39.46780643,147.7910635,,,,,
39.86604044,148.2859294,,,,,
40.26827652,148.7917006,,,,,
40.67443658,149.3088178,,,,,
41.08443363,149.8376391,,,,,
41.49817164,150.3784267,,,,,
41.91554528,150.9313331,,,,,
42.33643978,151.4963887,,,,,
42.76073078,152.0734897,,,,,
43.18828419,152.6623878,,,,,
43.61895703,153.2626819,,,,,
44.0525931,153.8738124,,,,,
44.48903027,154.495058,,,,,
44.92809483,155.1255365,,,,,
45.36960315,155.7642086,,,,,
45.81336172,156.4098858,,,,,
46.25916729,157.0612415,,,,,
46.70680701,157.7168289,,,,,
47.15605863,158.3750929,,,,,
47.60669074,159.034399,,,,,
48.05846572,159.6930501,,,,,
48.51113138,160.3493168,,,,,
48.96443224,161.0014586,,,,,
49.41810374,161.6477515,,,,,
49.87187409,162.2865119,,,,,
50.32546478,162.9161202,,,,,
50.77859121,163.535045,,,,,
51.23096332,164.1418486,,,,,
51.68228625,164.7352199,,,,,
52.13226113,165.3139755,,,,,
52.58058583,165.8770715,,,,,
53.02695588,166.4236087,,,,,
53.47106525,166.9528354,,,,,
53.91260737,167.4641466,,,,,
54.35127608,167.9570814,,,,,
54.78676659,168.4313175,,,,,
55.21877657,168.8866644,,,,,
55.64701131,169.3230548,,,,,
56.07116407,169.7405351,,,,,
56.49095862,170.139255,,,,,
56.90610886,170.5194567,,,,,
57.31634059,170.881464,,,,,
57.72138846,171.2256717,,,,,
58.12099696,171.5525345,,,,,
58.51492143,171.8625576,,,,,
58.90293208,172.1562865,,,,,
59.28479948,172.4342983,,,,,
59.66032626,172.6971935,,,,,
60.02931704,172.9455898,,,,,
60.39158721,173.180112,,,,,
60.74698785,173.4013896,,,,,
61.09536847,173.6100518,,,,,
61.43660077,173.8067179,,,,,
61.77057372,173.9919998,,,,,
62.09719399,174.1664951,,,,,
62.41638628,174.3307855,,,,,
62.72809362,174.4854344,,,,,
63.03227756,174.6309856,,,,,
63.32891841,174.7679617,,,,,
63.61801537,174.8968634,,,,,
63.89958662,175.0181691,,,,,
64.17366943,175.1323345,,,,,
64.44032016,175.2397926,,,,,
64.69961427,175.340954,,,,,
64.95164625,175.4362071,,,,,
65.1965295,175.5259191,,,,,
65.43440186,175.6104358,,,,,
65.66540015,175.690083,,,,,
65.88970117,175.7651671,,,,,
66.10749114,175.8359757,,,,,
66.31897311,175.9027788,,,,,
66.52436618,175.9658293,,,,,
66.72390443,176.0253641,,,,,
66.91783563,176.081605,,,,,
67.10641956,176.1347593,,,,,
67.28992603,176.1850208,,,,,
67.46863255,176.2325707,,,,,
67.64281378,176.2775781,,,,,
67.8127675,176.3202008,,,,,
67.97877331,176.3605864,,,,,
68.14111022,176.3988725,,,,,
68.30004741,176.4351874,,,,,
68.4558454,176.469651,,,,,
68.60872174,176.5023751,,,,,
68.75889263,176.533464,,,,,
68.90653028,176.5630153,,,,,
69.05176427,176.5911197,,,,,
69.19467288,176.6178621,,,,,
69.33527376,176.6433219,,,,,
69.47351373,176.6675729,,,,,
69.60925782,176.6906844,,,,,
69.74227758,176.712721,,,,,
69.87223885,176.733743,,,,,
69.99868896,176.753807,,,,,
70.12104381,176.7729657,,,,,
70.23857482,176.7912687,,,,,
70.35039626,176.8087622,,,,,
70.45546105,176.8254895,,,,,
70.55252127,176.8414914,,,,,
70.59761453,176.8492322,,,,,
